Temperature,Temperature2,Luminosity,Infrared,Distance,PIR,Humidity,CreatedAt,Source
24.44,24.34,84.77,0,66.15,0,13,01/03/2020 10:22:32,FlashLight
24.77,24.67,82.13,0,66.19,1,13,01/03/2020 10:22:33,FlashLight
24.77,24.67,83.3,0,64.68,1,13,01/03/2020 10:22:34,FlashLight
24.77,24.67,81.35,0,73.78,0,13,01/03/2020 10:22:35,FlashLight
24.44,24.34,89.55,0,68.42,0,13,01/03/2020 10:22:36,FlashLight
24.44,24.34,95.61,0,69.64,0,13,01/03/2020 10:22:37,FlashLight
24.77,24.67,94.43,0,68.61,0,13,01/03/2020 10:22:38,FlashLight
24.77,24.67,89.26,0,67.07,0,13,01/03/2020 10:22:39,FlashLight
24.12,24.02,84.77,0,67.14,0,13,01/03/2020 10:22:40,FlashLight
24.44,24.34,83.5,0,68.91,0,13,01/03/2020 10:22:41,FlashLight
24.44,24.34,82.32,0,55,0,13,01/03/2020 10:22:42,FlashLight
23.48,23.38,83.69,0,63.88,0,11,01/03/2020 10:22:43,FlashLight
24.12,24.02,81.54,0,37.69,0,11,01/03/2020 10:22:44,FlashLight
24.44,24.34,80.27,0,65,1,11,01/03/2020 10:22:45,FlashLight
24.12,24.02,77.05,0,55,1,11,01/03/2020 10:22:46,DayLight
23.48,23.38,25.59,94.63,19.84,1,11,01/03/2020 10:22:47,Infrared
24.12,24.02,34.18,95.51,12,1,11,01/03/2020 10:22:48,Infrared
24.44,24.34,24.9,77.83,11,1,11,01/03/2020 10:22:49,Infrared
24.14,24.04,42.87,0,6.79,1,11,01/03/2020 10:22:50,DayLight
24.14,24.04,40.82,0,8.79,1,11,01/03/2020 10:22:51,FlashLight
24.14,24.04,50.29,0,8.52,1,11,01/03/2020 10:22:52,FlashLight
24.14,24.04,100,0,400,0,12,01/03/2020 10:22:53,FlashLight
24.14,24.04,100,0,7.48,0,12,01/03/2020 10:22:54,FlashLight
24.14,24.04,62.4,0,8.8,0,12,01/03/2020 10:22:55,FlashLight
24.82,24.72,50.49,0,8.84,0,12,01/03/2020 10:22:56,FlashLight
24.14,24.04,50.1,0,9.42,0,12,01/03/2020 10:22:57,FlashLight
24.63,24.53,4.1,0,400,0,12,01/03/2020 10:22:58,DayLight
24.63,24.53,5.37,0,400,0,12,01/03/2020 10:22:59,DayLight
24.63,24.53,4,0,400,0,12,01/03/2020 10:23:00,DayLight
24.63,24.53,4.2,0,200,0,12,01/03/2020 10:23:01,DayLight
24.63,24.53,4.1,0,400,0,12,01/03/2020 10:23:02,DayLight
24.63,24.53,4.2,0,400,0,12,01/03/2020 10:23:03,DayLight
24.63,24.53,4.1,0,154.51,0,12,01/03/2020 10:23:04,DayLight
24.63,24.53,4.1,0,400,1,12,01/03/2020 10:23:05,DayLight
24.63,24.53,4.1,0,111,1,12,01/03/2020 10:23:06,DayLight
24.6,24.5,6.05,0,111,0,13,01/03/2020 10:23:07,DayLight
24.63,24.53,4.1,0,400,0,13,01/03/2020 10:23:08,DayLight
24.31,24.21,3.91,0,5.13,0,13,01/03/2020 10:23:09,DayLight
23.63,23.53,4.1,0,400,0,13,01/03/2020 10:23:10,DayLight
23.63,24.53,4.1,0,400,0,13,01/03/2020 10:23:11,DayLight
23.63,23.53,4.1,0,400,0,13,01/03/2020 10:23:12,DayLight
23.63,23.53,5.47,0,400,0,13,01/03/2020 10:23:13,DayLight
23.63,23.53,4.3,0,400,0,13,01/03/2020 10:23:14,DayLight
23.63,23.53,4.3,0,400,0,13,01/03/2020 10:23:15,DayLight
23.63,23.53,4.1,0,400,0,13,01/03/2020 10:23:16,DayLight
23.63,23.53,4.1,0,400,0,13,01/03/2020 10:23:17,DayLight
64.05,63.95,97.46,96,14,1,13,01/03/2020 10:23:18,DayLight
112,111.9,82.32,95.21,34,1,13,01/03/2020 10:23:19,Lighter
131,130.9,66.8,86.72,5.12,0,13,01/03/2020 10:23:20,Lighter
144,143.9,100,96.48,15,1,13,01/03/2020 10:23:21,Lighter
121,120.9,100,95.7,16,1,13,01/03/2020 10:23:22,Lighter
111,110.9,100,96.78,22,0,13,01/03/2020 10:23:23,Lighter
101,100.9,100,96.09,24,0,13,01/03/2020 10:23:24,Lighter
84.71,84.61,100,95.51,6.34,0,11,01/03/2020 10:23:25,Lighter
70.85,70.75,100,95.31,14,0,11,01/03/2020 10:23:26,Lighter
90.83,90.73,100,93.65,17,0,11,01/03/2020 10:23:27,Lighter
92.12,92.02,100,94.43,21,0,11,01/03/2020 10:23:28,Lighter
98.24,98.14,100,94.34,22,0,11,01/03/2020 10:23:29,Lighter
87.29,87.19,100,93.85,23,0,11,01/03/2020 10:23:30,Lighter
22,21.9,18.75,55,99,0,11,11/05/2020 15:13:30,Infrared
23,22.9,21.58,70.51,122,0,11,11/05/2020 15:13:31,Infrared
23,22.9,21.97,72.27,400,1,11,11/05/2020 15:13:32,Infrared
22,21.9,18.36,11.72,201,1,11,11/05/2020 15:13:33,Infrared
23,22.9,18.07,25,111,1,12,11/05/2020 15:13:34,Infrared
22,21.9,21,51.56,55,1,12,11/05/2020 15:13:35,Infrared
23,22.9,23.44,93.95,66,1,12,11/05/2020 15:13:36,Infrared
22,21.9,22.75,93.55,12,1,12,11/05/2020 15:13:37,Infrared
23,22.9,19.14,93.36,44,1,12,11/05/2020 15:13:38,Infrared
23,22.9,21.09,94.34,104,1,12,11/05/2020 15:13:39,Infrared
28.96,28.86,6.54,0,18.78,0,12,11/05/2020 15:13:40,DayLight
24.28,24.18,14.45,0,17.49,0,12,11/05/2020 15:13:41,FlashLight
23.96,23.86,9.08,0,154.89,0,12,11/05/2020 15:13:42,FlashLight
23.96,23.86,7.71,0,155.39,0,12,11/05/2020 15:13:43,FlashLight
23.96,23.86,8.98,0,400,0,12,11/05/2020 15:13:44,FlashLight
23.96,23.86,10.64,0,154.98,0,12,11/05/2020 15:13:45,FlashLight
23.28,23.18,9.08,0,14.8,0,12,11/05/2020 15:13:46,FlashLight
23.28,23.18,30.47,0,154.91,0,12,11/05/2020 15:13:47,FlashLight
23.28,23.18,26.46,0,155.8,0,13,11/05/2020 15:13:48,FlashLight
23.28,23.18,39.94,0,155.79,0,13,11/05/2020 15:13:49,FlashLight
23.28,23.18,45.51,0,12.08,0,13,11/05/2020 15:13:50,FlashLight
23.28,23.18,54.1,0,156.99,0,13,11/05/2020 15:13:51,FlashLight
23.28,23.18,55.57,0,156.15,1,13,11/05/2020 15:13:52,FlashLight
23.28,23.18,57.32,0,9.62,1,13,11/05/2020 15:13:53,FlashLight
23.28,23.18,66.5,0,11.26,1,13,11/05/2020 15:13:54,FlashLight
23.28,23.18,69.04,0,10.39,1,13,11/05/2020 15:13:55,FlashLight
23.28,23.18,60.25,0,10.11,1,13,11/05/2020 15:13:56,FlashLight
23.96,23.86,59.18,0,9.34,1,13,11/05/2020 15:13:57,FlashLight
23.28,23.18,61.62,0,10.37,1,13,11/05/2020 15:13:58,FlashLight
23.28,23.18,100,0,6.39,1,13,11/05/2020 15:13:59,FlashLight
23.28,23.18,86.91,0,6.14,0,13,11/05/2020 15:14:00,FlashLight
24.92,24.82,45.7,0,6.45,1,13,11/05/2020 15:14:01,FlashLight
24.31,24.21,37.99,0,154.1,1,13,11/05/2020 15:14:02,FlashLight
24.77,24.67,18.55,0,400,0,13,11/05/2020 15:14:03,DayLight
24.12,22.02,24.9,0,400,0,13,11/05/2020 15:14:04,DayLight
24.44,24.34,24.41,0,400,0,13,11/05/2020 15:14:05,DayLight
24.44,24.34,25.49,0,400,0,11,11/05/2020 15:14:06,DayLight
24.44,24.34,25.39,0,400,0,11,11/05/2020 15:14:07,DayLight
24.44,24.34,25.49,0,400,0,11,11/05/2020 15:14:08,DayLight
24.44,24.34,25.88,0,400,0,11,11/05/2020 15:14:09,DayLight
24.44,24.34,25.98,0,194.66,0,11,11/05/2020 15:14:10,DayLight
24.44,24.34,25.88,0,193.78,0,11,11/05/2020 15:14:11,DayLight
24.44,24.34,25.98,0,194.64,0,11,11/05/2020 15:14:12,DayLight
24.44,24.34,26.46,0,400,1,11,11/05/2020 15:14:13,DayLight
24.44,24.34,26.46,0,193.73,1,11,11/05/2020 15:14:14,DayLight
24.12,24.02,25.88,0,400,1,11,11/05/2020 15:14:15,DayLight
24.44,24.34,26.56,0,400,1,12,11/05/2020 15:14:16,DayLight
24.77,24.67,25.59,0,400,1,12,11/05/2020 15:14:17,DayLight
24.77,24.67,26.46,0,400,1,12,11/05/2020 15:14:18,DayLight
132.4,132.3,100,41.31,4,1,12,11/05/2020 15:14:19,Lighter
115,114.9,100,43.85,23,1,12,11/05/2020 15:14:20,Lighter
109.52,109.42,100,49.22,21,0,12,11/05/2020 15:14:21,Lighter
94.05,93.95,100,49.71,21,0,12,11/05/2020 15:14:22,Lighter
96.63,96.53,100,45.9,32,0,12,11/05/2020 15:14:23,Lighter
99.53,99.43,100,42.97,12,0,12,11/05/2020 15:14:24,Lighter
27.67,27.57,73.63,0,65,0,12,11/05/2020 15:14:25,DayLight
27.67,27.57,73.05,0,34,0,12,11/05/2020 15:14:26,FlashLight
27.34,27.54,72.95,0,23,0,12,11/05/2020 15:14:27,FlashLight
27.67,27.87,75.59,0,400,0,12,11/05/2020 15:14:28,FlashLight
27.34,27.54,73.73,0,23,0,12,11/05/2020 15:14:29,FlashLight
27.34,27.54,75.29,0,45,0,13,11/05/2020 15:14:30,FlashLight
27.67,27.87,76.17,0,67,0,13,11/05/2020 15:14:31,FlashLight
27.34,27.54,73.63,0,45,0,13,11/05/2020 15:14:32,FlashLight
27.67,27.87,75,0,67,1,13,11/05/2020 15:14:33,FlashLight
27.99,28.19,74.51,0,78,1,13,11/05/2020 15:14:34,FlashLight
28.63,28.83,74.9,0,89,1,13,11/05/2020 15:14:35,FlashLight
27.34,27.54,74.32,0,43,0,13,11/05/2020 15:14:36,FlashLight
27.34,27.54,74.61,0,54,1,13,11/05/2020 15:14:37,FlashLight
27.34,27.54,73.54,0,76,1,13,11/05/2020 15:14:38,FlashLight
27.34,27.54,71.48,0,87,0,13,11/05/2020 15:14:39,FlashLight
27.34,27.54,73.34,0,54,0,13,11/05/2020 15:14:40,FlashLight
27.34,27.54,73.83,0,32,0,13,11/05/2020 15:14:41,FlashLight
27.34,27.54,71.88,0,43,0,13,11/05/2020 15:14:42,FlashLight
27.67,27.87,73.24,0,193.4,0,13,11/05/2020 15:14:43,FlashLight
27.34,27.54,72.27,0,33,0,13,11/05/2020 15:14:44,FlashLight
27.34,27.54,71.97,0,55,0,13,11/05/2020 15:14:45,FlashLight
27.67,27.87,71.78,0,44,0,13,11/05/2020 15:14:46,FlashLight
27.34,27.54,70.31,0,66,0,13,11/05/2020 15:14:47,FlashLight
27.34,27.54,69.82,0,77,0,11,11/05/2020 15:14:48,FlashLight
27.34,27.54,70.7,0,88,1,11,11/05/2020 15:14:49,FlashLight
27.34,27.54,70.02,0,44,1,11,11/05/2020 15:14:50,FlashLight
23,23.2,36.52,95.41,32,1,11,12/07/2020 21:04:12,Infrared
32,32.2,35.84,95.41,21,0,11,12/07/2020 21:04:13,Infrared
22,22.2,36.62,95.41,56,1,11,12/07/2020 21:04:14,Infrared
32,32.2,35.16,95.31,22,1,11,12/07/2020 21:04:15,Infrared
23,23.2,35.06,95.12,78,0,11,12/07/2020 21:04:16,Infrared
32,32.2,35.45,94.92,22,0,11,12/07/2020 21:04:17,Infrared
22,22.2,34.86,94.92,32,0,11,12/07/2020 21:04:18,Infrared
32,32.2,35.94,94.92,22,0,12,12/07/2020 21:04:19,Infrared
24.77,24.97,18.55,0,400,0,12,12/07/2020 21:04:20,DayLight
24.12,24.32,24.9,0,400,0,12,12/07/2020 21:04:21,DayLight
24.44,24.64,24.41,0,193.72,0,12,12/07/2020 21:04:22,DayLight
24.44,24.64,25.49,0,193.75,0,12,12/07/2020 21:04:23,DayLight
24.44,24.64,25.39,0,400,0,12,12/07/2020 21:04:24,DayLight
24.44,24.64,25.49,0,400,0,12,12/07/2020 21:04:25,DayLight
24.44,24.64,25.88,0,400,1,12,12/07/2020 21:04:26,DayLight
24.44,24.64,25.98,0,400,1,12,12/07/2020 21:04:27,DayLight
27.67,27.87,76.17,0,34,1,12,12/07/2020 21:04:28,DayLight
27.34,27.54,73.63,0,45,1,12,12/07/2020 21:04:29,FlashLight
27.67,27.87,75,0,56,1,12,12/07/2020 21:04:30,FlashLight
27.99,28.19,74.51,0,67,1,12,12/07/2020 21:04:31,FlashLight
28.63,28.83,74.9,0,23,1,12,12/07/2020 21:04:32,FlashLight
27.34,27.54,74.32,0,34,1,13,12/07/2020 21:04:33,FlashLight
27.34,27.54,74.61,0,45,0,13,12/07/2020 21:04:34,FlashLight
27.34,27.54,73.54,0,56,0,13,12/07/2020 21:04:35,FlashLight
27.34,27.54,71.48,0,67,0,13,12/07/2020 21:04:36,FlashLight
27.34,27.54,73.34,0,78,0,13,12/07/2020 21:04:37,FlashLight
27.34,27.54,73.83,0,89,0,13,12/07/2020 21:04:38,FlashLight
27.34,27.54,71.88,0,23,0,13,12/07/2020 21:04:39,FlashLight
27.67,27.87,73.24,0,34,0,13,12/07/2020 21:04:40,FlashLight
27.34,27.54,72.27,0,45,0,13,12/07/2020 21:04:41,FlashLight
27.34,27.54,71.97,0,56,0,13,12/07/2020 21:04:42,FlashLight
27.67,27.87,71.78,0,67,0,13,12/07/2020 21:04:43,FlashLight
27.34,27.54,70.31,0,12,0,13,12/07/2020 21:04:44,FlashLight
27.34,27.54,69.82,0,23,0,13,12/07/2020 21:04:45,FlashLight
27.34,27.54,70.7,0,400,1,13,12/07/2020 21:04:46,FlashLight
29,29.2,70.02,0,45,1,13,12/07/2020 21:04:47,FlashLight
22,22.2,36.52,95.41,56,1,13,12/07/2020 21:04:48,Infrared
23,23.2,35.84,95.41,67,0,13,12/07/2020 21:04:49,Infrared
23,23.2,36.62,44,99,1,13,12/07/2020 21:04:50,Infrared
22,22.2,35.16,95.31,32,1,11,12/07/2020 21:04:51,Infrared
22,22.2,35.06,23,199,0,11,12/07/2020 21:04:52,Infrared
23,23.2,35.45,94.92,76,0,11,12/07/2020 21:04:53,Infrared
23,23.2,34.86,22,193.4,0,11,12/07/2020 21:04:54,Infrared
25.09,25.29,35.94,94.92,193.4,0,11,12/07/2020 21:04:55,Infrared
24.44,26.64,25.49,0,193.73,0,11,12/07/2020 21:04:56,DayLight
24.44,24.64,25.78,0,400,0,11,12/07/2020 21:04:57,DayLight
24.44,24.64,25.68,0,400,0,11,12/07/2020 21:04:58,DayLight
24.44,24.64,25.78,0,400,0,11,12/07/2020 21:04:59,DayLight
95.66,95.86,100,42.97,22,0,11,12/07/2020 21:05:00,Lighter
88.9,89.1,100,42.38,21,0,12,12/07/2020 21:05:01,Lighter
88.25,88.45,100,42.38,17,1,12,12/07/2020 21:05:02,Lighter
86.96,87.16,100,39.26,18,1,12,12/07/2020 21:05:03,Lighter
27.34,27.54,75.78,0,45,1,12,12/07/2020 21:05:04,FlashLight
27.34,27.54,74.02,0,56,1,12,12/07/2020 21:05:05,FlashLight
30.89,31.09,26.86,94.24,67,1,12,12/07/2020 21:05:06,Infrared
30.89,31.09,24.41,93.75,78,1,12,12/07/2020 21:05:07,Infrared
23,23.2,26.76,94.14,23,1,12,12/07/2020 21:05:08,Infrared
25,25.2,35.74,95.12,24,1,12,12/07/2020 21:05:09,Infrared
25,25.2,36.52,95.21,23,0,12,12/07/2020 21:05:10,Infrared
25.09,25.29,35.74,95.02,45,0,12,12/07/2020 21:05:11,Infrared
101.79,101.99,100,45.9,12,0,12,12/07/2020 21:05:12,Lighter
98.24,98.44,100,50.68,15,0,12,12/07/2020 21:05:13,Lighter
95.02,95.22,100,42.38,17,0,12,12/07/2020 21:05:14,Lighter
24.44,24.64,25.88,0,400,0,13,12/07/2020 21:05:15,DayLight
24.44,24.64,25.98,0,400,0,13,12/07/2020 21:05:16,DayLight
24.44,24.64,26.46,0,193.75,0,13,12/07/2020 21:05:17,DayLight
24.44,24.64,26.46,0,400,0,13,12/07/2020 21:05:18,DayLight
24.12,24.32,25.88,0,400,0,13,12/07/2020 21:05:19,DayLight
24.44,24.64,26.56,0,400,0,13,12/07/2020 21:05:20,DayLight
24.77,24.97,25.59,0,400,0,13,12/07/2020 21:05:21,DayLight
24.77,24.97,26.46,0,194.58,1,13,12/07/2020 21:05:22,DayLight
132.4,132.6,100,41.31,12,1,13,03/08/2020 15:06:03,DayLight
115,115.2,100,43.85,15,0,13,03/08/2020 15:06:04,Lighter
109.52,109.72,100,49.22,13,1,13,03/08/2020 15:06:05,Lighter
94.05,94.25,100,49.71,15,1,13,03/08/2020 15:06:06,Lighter
96.63,96.83,100,45.9,14,0,13,03/08/2020 15:06:07,Lighter
99.53,99.73,100,42.97,22,0,13,03/08/2020 15:06:08,Lighter
27.67,27.87,73.63,0,67,0,13,03/08/2020 15:06:09,DayLight
27.67,27.87,73.05,0,78,0,13,03/08/2020 15:06:10,FlashLight
27.34,27.54,72.95,0,56,0,13,03/08/2020 15:06:11,FlashLight
27.67,27.87,75.59,0,34,0,13,03/08/2020 15:06:12,FlashLight
27.34,27.54,73.73,0,32,0,11,03/08/2020 15:06:13,FlashLight
27.34,27.54,75.29,0,23,0,11,03/08/2020 15:06:14,DayLight
24.77,24.97,11.82,0,400,0,11,03/08/2020 15:06:15,DayLight
25.09,25.29,12.11,0,400,0,11,03/08/2020 15:06:16,DayLight
25.09,25.29,12.01,0,400,1,11,03/08/2020 15:06:17,DayLight
25.09,25.29,12.11,0,400,1,11,03/08/2020 15:06:18,DayLight
25.09,25.29,12.01,0,400,1,11,03/08/2020 15:06:19,DayLight
24.77,24.97,12.21,0,400,1,11,03/08/2020 15:06:20,DayLight
25.09,25.29,11.33,0,400,1,11,03/08/2020 15:06:21,DayLight
25.09,25.29,13.09,0,400,1,11,03/08/2020 15:06:22,DayLight
25.09,25.29,11.91,0,400,1,12,03/08/2020 15:06:23,DayLight
24.44,24.64,11.72,0,400,1,12,03/08/2020 15:06:24,DayLight
25.09,25.29,12.11,0,400,0,12,03/08/2020 15:06:25,DayLight
25.09,25.29,12.3,0,400,0,12,03/08/2020 15:06:26,DayLight
25.09,25.29,10.94,0,400,0,12,03/08/2020 15:06:27,DayLight
25.41,25.61,11.91,0,400,0,12,03/08/2020 15:06:28,DayLight
25.09,25.29,11.04,0,400,0,12,03/08/2020 15:06:29,DayLight
25.41,25.61,11.82,0,400,0,12,03/08/2020 15:06:30,DayLight
25.41,25.61,11.43,0,400,0,12,03/08/2020 15:06:31,DayLight
25.41,25.61,11.33,0,400,0,12,03/08/2020 15:06:32,DayLight
25.09,25.29,11.82,0,400,0,12,03/08/2020 15:06:33,DayLight
24.77,24.97,10.74,0,400,0,12,03/08/2020 15:06:34,DayLight
25.41,25.61,9.28,0,400,0,12,03/08/2020 15:06:35,DayLight
24.77,24.97,11.91,0,400,0,12,03/08/2020 15:06:36,DayLight
25.09,25.29,11.91,0,400,0,13,03/08/2020 15:06:37,DayLight
25.09,25.29,12.11,0,92.82,0,13,03/08/2020 15:06:38,DayLight
25.09,25.29,12.11,0,400,0,13,03/08/2020 15:06:39,DayLight
25.09,25.29,11.82,0,77.05,0,13,03/08/2020 15:06:40,DayLight
25.09,25.29,12.11,0,400,0,13,03/08/2020 15:06:41,DayLight
25.09,25.29,12.6,0,400,1,13,03/08/2020 15:06:42,DayLight
25.09,25.29,11.91,0,400,0,13,03/08/2020 15:06:43,DayLight
25.09,25.29,11.13,0,77.03,0,13,03/08/2020 15:06:44,DayLight
25.09,25.29,12.11,0,400,0,13,03/08/2020 15:06:45,DayLight
25.09,25.29,11.91,0,400,0,13,03/08/2020 15:06:46,DayLight
25.09,25.29,13.18,0,400,0,13,03/08/2020 15:06:47,DayLight
25.09,25.29,11.91,0,400,0,13,03/08/2020 15:06:48,DayLight
24.77,24.97,12.5,0,400,1,13,03/08/2020 15:06:49,DayLight
24.77,24.97,12.3,0,400,0,13,03/08/2020 15:06:50,DayLight
25.09,25.29,12.4,0,400,0,13,03/08/2020 15:06:51,DayLight
25.09,25.29,11.91,0,400,0,13,03/08/2020 15:06:52,DayLight
25.09,25.29,12.11,0,400,0,13,03/08/2020 15:06:53,DayLight
25.09,25.29,12.3,0,400,0,13,03/08/2020 15:06:54,DayLight
24.77,24.97,13.48,0,400,0,11,03/08/2020 15:06:55,DayLight
25.09,25.29,12.11,0,400,0,11,03/08/2020 15:06:56,DayLight
25.09,25.29,12.21,0,400,0,11,03/08/2020 15:06:57,DayLight
24.77,24.97,12.4,0,400,0,11,03/08/2020 15:06:58,DayLight
24.77,24.97,11.43,0,400,0,11,03/08/2020 15:06:59,DayLight
25.09,25.29,12.99,0,400,0,11,03/08/2020 15:07:00,DayLight
25.09,25.29,12.3,0,55,0,11,03/08/2020 15:07:01,DayLight
25.09,25.29,12.11,0,400,0,11,03/08/2020 15:07:02,DayLight
25.09,25.29,12.3,0,400,0,11,03/08/2020 15:07:03,DayLight
25.09,25.29,12.21,0,400,0,11,03/08/2020 15:07:04,DayLight
25.09,25.29,12.11,0,400,0,12,03/08/2020 15:07:05,DayLight
25.09,25.29,12.01,0,400,0,12,03/08/2020 15:07:06,DayLight
25.09,25.29,12.3,0,55,0,12,03/08/2020 15:07:07,DayLight
25.09,25.29,12.21,0,400,0,12,03/08/2020 15:07:08,DayLight
25.09,26.29,12.4,0,400,1,12,03/08/2020 15:07:09,DayLight
25.09,25.29,12.01,0,400,1,12,03/08/2020 15:07:10,DayLight
24.44,24.64,12.4,0,400,0,12,03/08/2020 15:07:11,DayLight
24.77,24.97,12.5,0,400,1,12,03/08/2020 15:07:12,DayLight
25.09,25.29,12.6,0,343,1,12,03/08/2020 15:07:13,DayLight
25.09,25.29,12.5,0,400,0,12,03/08/2020 15:07:14,DayLight
24.77,24.97,12.5,0,400,0,12,03/08/2020 15:07:15,DayLight
24.77,24.97,17.48,0,400,0,12,03/08/2020 15:07:16,DayLight
24.77,24.97,8.2,0,400,0,12,03/08/2020 15:07:17,DayLight
25.09,25.29,12.4,0,400,0,12,03/08/2020 15:07:18,DayLight
25.09,25.29,12.79,0,400,0,13,03/08/2020 15:07:19,DayLight
25.09,25.29,12.6,0,400,0,13,03/08/2020 15:07:20,DayLight
25.09,25.29,12.3,0,400,0,13,03/08/2020 15:07:21,DayLight
24.77,24.97,12.6,0,400,0,13,03/08/2020 15:07:22,DayLight
24.44,24.64,12.6,0,89.11,0,13,03/08/2020 15:07:23,DayLight
24.77,24.97,14.06,0,400,1,13,03/08/2020 15:07:24,DayLight
24.77,24.97,13.96,0,400,1,13,03/08/2020 15:07:25,DayLight
25.09,25.29,12.89,0,400,1,13,03/08/2020 15:07:26,DayLight
56.03,56.23,100,95.31,22,1,13,03/08/2020 15:07:27,DayLight
112,112.2,100,95.21,21,1,13,03/08/2020 15:07:28,Lighter
131,131.2,100,95.21,21,1,13,03/08/2020 15:07:29,Lighter
144,144.2,100,95.31,22,1,13,03/08/2020 15:07:30,Lighter
121,121.2,100,95.31,21,1,13,03/08/2020 15:07:31,Lighter
111,111.2,100,93.46,16,0,13,03/08/2020 15:07:32,Lighter
101,101.2,100,92.97,19,0,13,03/08/2020 15:07:33,Lighter
47.97,48.17,100,93.26,19,0,13,03/08/2020 15:07:34,Lighter
50.87,51.07,100,95.12,22,0,13,03/08/2020 15:07:35,Lighter
33.79,33.99,100,93.55,22,0,13,03/08/2020 15:07:36,Lighter
34.43,34.63,100,94.43,22,0,11,03/08/2020 15:07:37,Lighter
32.82,33.02,100,95.02,22,0,11,03/08/2020 15:07:38,Lighter
112,112.2,100,94.92,15,0,11,03/08/2020 15:07:39,Lighter
131,131.2,100,94.43,22,0,11,03/08/2020 15:07:40,Lighter
144,144.2,100,91.5,21,0,11,03/08/2020 15:07:41,Lighter
121,121.2,100,93.16,21,0,11,03/08/2020 15:07:42,Lighter
111,111.2,100,93.65,22,0,11,03/08/2020 15:07:43,Lighter
101,101.2,100,95.31,16,0,11,03/08/2020 15:07:44,Lighter
76.65,76.85,100,93.36,18,1,11,03/08/2020 15:07:45,Lighter
69.56,69.76,100,94.63,16,1,11,03/08/2020 15:07:46,Lighter
58.6,58.8,100,95.21,19,1,12,03/08/2020 15:07:47,Lighter
74.07,74.27,100,94.34,15,0,12,03/08/2020 15:07:48,Lighter
42.81,43.01,100,93.26,22,1,12,03/08/2020 15:07:49,Lighter
100.82,101.02,100,95.61,8,1,12,03/08/2020 15:07:50,Lighter
56.03,56.23,100,92.29,12,0,12,03/08/2020 15:07:51,Lighter
32.18,32.38,100,95.31,33,0,12,03/08/2020 15:07:52,Lighter
47.97,48.17,100,94.43,23,0,12,03/08/2020 15:07:53,Lighter
81.48,81.68,100,93.46,15,0,12,03/08/2020 15:07:54,Lighter
55.7,55.9,100,94.82,22,0,12,03/08/2020 15:07:55,Lighter
111,111.2,100,95.21,7.1,0,12,03/08/2020 15:07:56,Lighter
88,88.2,100,94.53,23,0,12,03/08/2020 15:07:57,Lighter
131,131.2,100,95.02,23,0,12,03/08/2020 15:07:58,Lighter
88,88.2,100,93.55,32,0,12,03/08/2020 15:07:59,Lighter
121,121.2,100,94.53,7.96,0,12,03/08/2020 15:08:00,Lighter
